index,season,episode,total_lines,andy,angela,charles,clark,creed,darryl,david wallace,deangelo,dwight,erin,gabe,holly,jan,jim,jo,karen,kelly,kevin,meredith,michael,nellie,oscar,other,pam,pete,phyllis,robert california,roy,ryan,stanley,toby
0,1,1,228,0,1,0,0,0,0,0,0,29,0,0,0,12,36,0,0,0,1,0,82,0,3,4,40,0,2,0,5,8,5,0
1,1,2,203,0,4,0,0,0,0,0,0,17,0,0,0,0,25,0,0,2,8,0,75,0,13,36,12,0,0,0,0,4,5,2
2,1,3,243,0,5,0,0,0,0,0,0,62,0,0,0,18,42,0,0,0,6,3,55,0,9,4,32,0,0,0,0,1,6,0
3,1,4,243,0,7,0,0,0,0,0,0,47,0,0,0,0,49,0,0,0,3,10,68,0,14,5,22,0,5,0,3,4,2,4
4,1,5,230,0,3,0,0,0,15,0,0,25,0,0,0,0,21,0,0,0,1,0,104,0,2,18,14,0,4,0,12,8,3,0
5,1,6,340,0,3,0,0,0,0,0,0,28,0,0,0,8,55,0,0,0,4,0,106,0,1,58,42,0,0,0,14,12,3,6
6,2,1,255,0,1,0,0,0,1,0,0,32,0,0,0,9,32,0,0,7,1,0,96,0,2,8,40,0,10,0,6,2,8,0
7,2,2,278,0,2,0,0,0,9,0,0,11,0,0,0,11,16,0,0,0,6,1,99,0,0,48,27,0,6,0,14,1,1,26
8,2,3,275,0,5,0,0,0,0,0,0,55,0,0,0,0,54,0,0,0,8,1,83,0,10,19,30,0,2,0,0,5,3,0
9,2,4,316,0,17,0,0,0,0,0,0,64,0,0,0,0,51,0,0,4,4,4,69,0,4,20,22,0,6,0,6,40,5,0
10,2,5,269,0,13,0,0,16,0,0,0,33,0,0,0,0,30,0,0,3,2,0,108,0,7,23,27,0,3,0,0,1,3,0
11,2,6,267,0,3,0,0,0,0,0,0,64,0,0,0,0,49,0,0,3,3,0,85,0,0,10,25,0,0,0,0,17,3,5
12,2,7,253,0,0,0,0,0,0,0,0,22,0,0,0,46,40,0,0,1,1,0,72,0,4,23,32,0,4,0,1,6,0,1
13,2,8,272,0,5,0,0,1,0,0,0,42,0,0,0,52,26,0,0,2,3,0,103,0,1,0,30,0,1,0,0,1,4,1
14,2,9,274,0,13,0,0,0,0,0,0,34,0,0,0,0,52,0,0,1,8,0,80,0,6,34,38,0,4,0,0,2,2,0
15,2,10,282,0,9,0,0,4,11,0,0,41,0,0,0,0,28,0,0,8,11,10,87,0,8,12,17,0,5,0,8,15,5,3
16,2,11,223,0,1,0,0,0,3,0,0,22,0,0,0,0,29,0,0,4,0,3,75,0,1,43,17,0,4,0,11,2,8,0
17,2,12,356,0,5,0,0,1,0,0,0,58,0,0,0,0,54,0,0,1,2,1,123,0,3,25,56,0,3,0,0,13,4,7
18,2,13,260,0,5,0,0,3,0,0,0,37,0,0,0,0,50,0,0,5,7,0,92,0,9,11,27,0,1,0,0,7,3,3
19,2,14,255,0,2,0,0,9,3,0,0,24,0,0,0,0,27,0,0,9,6,0,100,0,5,20,27,0,1,0,6,13,2,1
20,2,15,278,0,5,0,0,0,27,0,0,12,0,0,0,55,22,0,0,9,3,5,76,0,0,11,26,0,9,0,15,2,1,0
21,2,16,194,0,4,0,0,0,0,12,0,19,0,0,0,16,15,0,0,13,5,2,44,0,2,28,22,0,3,0,5,4,0,0
22,2,17,198,0,4,0,0,4,0,0,0,49,0,0,0,0,34,0,0,5,4,0,52,0,3,4,19,0,4,0,0,7,5,4
23,2,18,261,0,4,0,0,4,1,0,0,22,0,0,0,0,17,0,0,6,5,2,77,0,1,72,20,0,0,0,1,10,6,13
24,2,19,243,0,11,0,0,0,0,0,0,42,0,0,0,5,22,0,0,3,14,1,85,0,7,11,26,0,2,0,0,3,3,8
25,2,20,205,0,5,0,0,1,0,0,0,68,0,0,0,0,18,0,0,5,5,0,50,0,6,11,15,0,3,0,0,7,6,5
26,2,21,256,0,13,0,0,3,0,0,0,33,0,0,0,0,28,0,0,2,3,0,88,0,9,11,24,0,12,0,0,4,4,22
27,2,22,365,0,5,0,0,4,8,0,0,31,0,0,0,40,51,0,0,0,16,1,93,0,4,44,44,0,7,0,11,1,1,4
28,3,1,134,5,4,0,0,1,0,0,0,16,0,0,0,7,10,0,1,1,1,0,49,0,15,1,6,0,3,0,4,0,1,9
29,3,2,299,0,9,0,0,2,0,0,0,37,0,0,0,12,32,0,0,8,3,1,108,0,0,45,30,0,2,0,0,3,1,6
30,3,3,255,10,12,0,0,2,0,0,0,70,0,0,0,25,11,0,7,7,4,0,73,0,0,8,17,0,5,0,2,0,2,0
31,3,4,231,4,6,0,0,6,0,0,0,35,0,0,0,12,15,0,15,3,2,1,82,0,0,4,25,0,3,0,5,5,5,3
32,3,5,261,5,4,0,0,0,0,0,0,45,0,0,0,7,45,0,9,6,3,0,33,0,0,7,52,0,2,0,0,36,6,1
33,3,6,212,14,10,0,0,1,0,0,0,6,0,0,0,0,19,0,14,15,6,2,56,0,0,33,23,0,2,0,1,7,1,2
34,3,7,256,5,7,0,0,0,4,0,0,39,0,0,0,32,21,0,9,2,12,0,68,0,0,12,22,0,8,0,4,7,1,3
35,3,8,470,40,4,0,0,2,0,0,0,73,0,0,0,6,66,0,26,6,7,2,125,0,0,40,36,0,8,0,0,9,4,16
36,3,9,191,17,10,0,0,2,0,0,0,4,0,0,0,7,31,0,10,0,13,1,54,0,0,16,16,0,1,0,0,3,2,4
37,3,10,478,27,37,0,0,3,3,0,0,61,0,0,0,0,43,0,34,5,14,3,108,0,1,45,57,0,12,0,6,8,3,8
38,3,12,214,3,4,0,0,0,6,0,0,22,0,0,0,12,25,0,9,0,5,0,68,0,0,9,33,0,2,0,5,0,4,7
39,3,13,264,29,17,0,0,0,0,0,0,33,0,0,0,1,39,0,16,2,7,0,48,0,0,20,26,0,10,0,0,8,8,0
40,3,14,207,40,14,0,0,3,0,0,0,25,0,0,0,0,25,0,4,0,3,2,49,0,11,13,10,0,3,0,0,3,2,0
41,3,15,252,0,4,0,0,0,0,0,0,28,0,0,0,6,25,0,15,3,2,2,76,0,0,53,30,0,0,0,1,6,1,0
42,3,16,177,0,3,0,0,0,0,0,0,25,0,0,0,0,19,0,4,5,4,1,49,0,0,24,15,0,15,0,9,0,2,2
43,3,17,184,0,2,0,0,5,0,0,0,22,0,0,0,0,11,0,5,9,6,3,45,0,4,20,26,0,0,0,8,14,1,3
44,3,18,289,0,1,0,0,2,0,8,0,31,0,0,0,46,21,0,12,1,8,0,84,0,0,25,22,0,0,0,22,3,0,3
45,3,19,347,2,11,0,0,3,42,0,0,17,0,0,0,30,41,0,15,14,8,0,103,0,4,1,14,0,4,0,8,9,4,17
46,3,20,277,17,1,0,0,3,26,0,0,54,0,0,0,0,23,0,4,5,13,0,79,0,3,15,19,0,0,0,0,5,2,8
47,3,21,244,32,11,0,0,8,0,0,0,31,0,0,0,0,42,0,4,8,7,0,50,0,6,27,14,0,1,0,0,2,1,0
48,3,22,280,10,11,0,0,6,0,0,0,40,0,0,0,11,29,0,15,4,11,5,78,0,0,1,35,0,12,0,0,5,0,7
49,3,23,278,18,8,0,0,2,0,9,0,38,0,0,0,0,22,0,9,9,5,1,105,0,5,5,23,0,1,0,0,3,11,4
50,3,24,491,22,6,0,0,2,0,45,0,58,0,0,0,41,65,0,38,3,17,6,114,0,10,7,42,0,4,0,0,4,7,0
51,4,1,480,7,44,0,0,9,5,0,0,54,0,0,0,7,50,0,0,6,17,18,130,0,9,14,81,0,4,0,0,7,9,9
52,4,3,549,14,22,0,0,10,0,0,0,67,0,0,0,16,41,0,0,19,13,0,139,0,3,41,50,0,13,0,0,78,5,18
53,4,5,536,45,50,0,0,0,9,0,0,81,0,0,0,6,67,0,0,8,14,12,146,0,8,45,24,0,8,0,0,6,7,0
54,4,7,449,11,4,0,0,7,10,0,0,38,0,0,0,31,41,0,0,12,9,1,139,0,25,37,50,0,2,0,0,21,9,2
55,4,9,206,21,2,0,0,2,10,3,0,10,0,0,0,0,27,0,0,0,3,3,61,0,1,29,18,0,7,0,0,8,1,0
56,4,10,276,8,0,0,0,0,0,0,0,38,0,0,0,0,69,0,24,0,2,0,82,0,10,9,15,0,2,0,0,0,10,7
57,4,11,233,7,7,0,0,12,0,0,0,25,0,0,0,0,68,0,0,1,2,5,65,0,7,1,11,0,4,0,0,0,2,16
58,4,12,241,0,0,0,0,0,3,4,0,5,0,0,0,26,14,0,0,15,4,1,78,0,1,55,21,0,0,0,0,10,0,4
59,4,13,282,10,12,0,0,0,0,0,0,16,0,0,0,73,38,0,0,0,0,0,90,0,0,13,28,0,1,0,0,0,1,0
60,4,14,220,14,1,0,0,3,0,0,0,17,0,0,0,1,21,0,0,0,20,0,72,0,2,24,35,0,9,0,0,0,1,0
61,4,15,305,4,4,0,0,2,0,0,0,42,0,0,0,0,37,0,0,3,3,1,85,0,6,30,13,0,3,0,0,60,4,8
62,4,16,255,23,3,0,0,1,13,0,0,32,0,0,0,0,23,0,0,1,8,0,87,0,2,0,16,0,7,0,0,6,23,10
63,4,17,186,12,4,0,0,4,6,0,0,9,0,0,0,0,19,0,0,1,7,1,45,0,5,38,33,0,2,0,0,0,0,0
64,4,18,516,7,14,0,0,7,2,0,0,37,0,0,69,24,59,0,0,4,23,4,159,0,1,5,42,0,16,0,0,5,1,37
65,5,1,499,29,26,0,0,5,10,0,0,47,0,0,55,5,62,0,0,12,14,4,116,0,18,17,37,0,16,0,0,17,8,1
66,5,3,219,11,2,0,0,1,0,0,0,15,0,0,51,0,27,0,0,3,5,13,61,0,5,7,9,0,3,0,0,3,3,0
67,5,4,270,13,13,0,0,2,9,0,0,35,0,0,10,38,27,0,0,2,4,1,79,0,3,0,25,0,7,0,0,0,2,0
