,season,episode,name,laughs,importance_to_office_universe,memorability_quotability,emotional_weight
123,1,1,Pilot,8.19,8.65,7.02,6.12
83,1,2,Diversity Day,8.53,6.95,7.01,6.17
116,1,3,Health Care,8.88,6.99,8.53,5.3
61,1,4,The Alliance,7.95,7.01,6.97,5.4
110,1,5,Basketball,7.95,8.55,6.83,6.21
60,1,6,Hot Girl,7.89,6.55,6.96,5.9
183,2,1,The Dundies,9.23,9.4,9.11,9.41
92,2,2,Sexual Harassment,8.4,7.2,7.01,6.4
177,2,3,Office Olympics,9.13,8.77,9.4,8.56
104,2,4,The Fire,8.53,7.21,7.3,6.4
105,2,5,Halloween,7.8,7.41,7.14,7.1
126,2,6,The Fight,8.21,7.01,8.3,6.49
174,2,7,The Client,8.83,9.1,8.51,9.12
89,2,8,Performance Review,7.78,8.2,6.87,6.1
121,2,9,Email Surveillance,8.2,8.5,6.85,6.3
164,2,10,Christmas Party,8.6,8.99,7.76,8.01
139,2,11,Booze Cruise,8.4,8.69,6.21,8.04
75,2,12,The Injury,8.49,7.12,6.4,6.1
74,2,13,The Secret,7.46,7.97,5.99,6.63
91,2,14,The Carpet,8.1,7.02,6.85,7.03
87,2,15,Boys and Girls,8.6,6.01,8.1,6.12
93,2,16,Valentine's Day,7.8,8.1,6.45,6.68
32,2,17,Dwight's Speech,7.4,6.5,5.97,6.34
29,2,18,Take You Daughter to Work Day,7.2,6.49,6.34,5.89
127,2,19,Michael's Birthday,8.21,7.11,8.02,6.69
118,2,20,Drug Testing,8.19,7.01,7.88,6.71
158,2,21,Conflict Resolution,8.89,8.44,8.5,6.99
184,2,22,Casino Night,9.25,9.1,9.3,9.6
169,3,1,Gay Witch Hunt,8.7,8.9,8.5,8.8
157,3,2,The Convention,8.56,8.66,8.58,7.01
144,3,3,The Coup,8.53,8.12,8.55,6.54
133,3,4,Grief Counseling,8.71,7.12,8.57,6.31
155,3,5,Initiation,8.71,8.21,8.55,7.07
98,3,6,Diwali,8.01,7.67,6.54,6.99
137,3,7,Branch Closing,8.54,8.56,6.79,7.15
129,3,8,The Merger,8.55,8.58,7.16,6.02
136,3,9,The Convict,8.97,7.01,8.99,6.01
138,3,10,Benihana Christmas,8.66,8.01,8.04,6.55
111,3,12,Back From Vacation,7.51,8.12,7.14,6.8
124,3,13,Traveling Salesman,7.31,8.56,7.01,7.12
97,3,14,The Return,7.27,7.16,8.76,6.01
54,3,15,Ben Franklin,7.12,7.12,6.78,5.99
150,3,16,Phyllis' Wedding,8.81,7.23,8.88,7.13
112,3,17,Business School,7.07,7.17,7.12,8.21
122,3,18,Cocktails,7.41,8.3,7.12,7.03
69,3,19,The Negotiation,7.11,7.01,7.01,6.74
80,3,20,Safety Training,8.01,6.45,7.99,6.01
84,3,21,Product Recall,8.12,6.01,8.77,5.82
24,3,22,Women's Appreciation,7.01,6.79,6.52,5.11
149,3,23,Beach Games,7.89,8.54,7.01,8.55
176,3,24,The Job,8.13,9.13,9.03,9.54
182,4,1,Fun Run,9.45,9.01,9.12,9.13
114,4,3,Dunder Mifflin Infinity,7.77,7.01,8.88,6.03
72,4,5,Launch Party,7.01,7.01,6.88,7.11
131,4,7,Money,7.1,7.21,8.38,7.77
25,4,9,Local Ad,6.51,6.5,6.6,5.91
23,4,10,Branch Wars,6.65,6.21,6.55,5.99
119,4,11,Survivor Man,8.2,7.12,8.3,6.22
55,4,12,The Deposition,7.21,6.89,6.99,5.99
178,4,13,Dinner Party,10,9.03,9.88,7.15
41,4,14,The Chair Model,7.11,6.43,6.99,6.01
27,4,15,Night Out,7.01,6.45,6.21,6.21
47,4,16,Did I Stutter?,7.21,6.41,7.21,5.88
7,4,17,Job Fair,7.14,6.11,6.12,5.13
163,4,18,Goodbye Toby,8.71,7.86,8.21,8.54
156,5,1,Weight Loss,7.56,8.44,7.88,8.88
16,5,3,Business Ethics,7.03,6.11,5.55,6.31
88,5,4,Baby Shower,7.31,8.01,5.88,7.66
28,5,5,Crime Aid,7.67,7.1,6.01,5.13
107,5,6,Employee Transfer,6.55,8.01,6.78,8.16
11,5,7,Customer Survey,7.01,6.66,5.03,6.01
14,5,8,Business Trip,6.89,6.44,5.1,6.55
147,5,9,Frame Toby,8.11,7.77,8.89,7.16
140,5,10,The Surplus,8.33,7.78,7.68,7.55
159,5,11,Moroccan Christmas,8.61,8.52,7.79,8.02
160,5,12,The Duel,8.59,8.52,8.18,7.77
9,5,13,Prince Family Paper,7.17,6.44,5.01,6.01
168,5,14,Stress Relief,9.67,8.01,8.88,8.12
71,5,16,Lecture Circuit: Part 1,6.75,7.33,7.01,6.88
185,5,17,Lecture Circuit: Part 2,6.75,7.33,7.01,6.88
6,5,18,Blood Drive,5.77,6.73,5.99,5.99
37,5,19,Golden Ticket,7.01,5.88,7.55,5.89
113,5,20,New Boss,7.11,8.54,7.01,7.03
125,5,21,Two Weeks,7.88,8.79,7.33,6.01
59,5,22,Dream Team,7.01,7.11,6.86,6.31
68,5,23,Michael Scott Paper Company,7.14,7.66,7.01,5.98
145,5,24,Heavy Competition,8.01,8.77,8.01,7.01
148,5,25,Broke,8.15,8.88,8.15,6.77
48,5,26,Casual Friday,7.01,6.99,6.77,5.99
103,5,27,Cafe Disco,7.78,7.11,7.44,7.07
167,5,28,Company Picnic,8.18,9.01,8.21,8.74
39,6,1,Gossip,7.13,6.44,6.35,6.54
33,6,2,The Meeting,6.88,7.03,6.33,6.01
67,6,3,The Promotion,7.11,6.88,7.77,5.96
173,6,4,Niagara,8.19,8.99,8.98,9.33
4,6,6,Mafia,6.31,6.01,6.21,5.67
10,6,7,The Lover,6.99,6.53,6.12,5.05
19,6,8,Koi Pond,7.14,5.89,7.01,5.05
15,6,9,Double Date,6.98,6.01,5.88,6.12
117,6,10,Murder,8.01,6.88,8.33,6.55
34,6,11,Shareholder Meeting,7.97,6.31,6.67,5.34
151,6,12,Scott's Tots,8.88,7.88,8.99,6.33
99,6,13,Secret Santa,8.11,8.01,7.02,6.11
20,6,14,The Banker,8,5.01,5.11,7
109,6,15,Sabre,8.41,8.01,7.12,5.98
38,6,16,Manager and the Salesman,8.13,6.12,6.12,5.99
106,6,17,The Delivery,7.15,8.41,6.22,7.71
53,6,19,St. Patrick's Day,7.19,6.59,6.11,7.01
70,6,20,New Leads,8.31,5.98,6.55,7.12
128,6,21,Happy Hour,8.61,6.44,8.7,6.44
30,6,22,Secretary's Day,7.78,6.11,6.13,6.01
45,6,23,Body Language,7.22,6.31,6.81,6.33
42,6,24,The Cover Up,7.55,6.14,6.44,6.44
65,6,25,The Chump,6.89,6.77,7.88,6
43,6,26,Whistle Blower,7.11,6.33,6.05,7.11
52,7,1,Nepotism,7.16,6.68,6.33,6.69
135,7,2,Counseling,8.13,7.55,7.65,7.59
3,7,3,Andy's Play,5.98,5.55,5.33,7.33
101,7,4,Sex Ed,6.88,6.78,7.17,8.44
18,7,5,The Sting,6.25,6.33,6.13,6.32
46,7,6,Costume Contest,7.04,6.21,6.33,7.11
5,7,7,Christening,6.21,6.13,6.14,5.88
44,7,8,Viewing Party,7.17,6.44,6.01,7.01
90,7,9,WUPHF.com,7.43,7.44,6.88,7.22
146,7,10,China,7.42,8.57,7.15,8.66
162,7,11,Classy Christmas,8.77,8.21,8.2,8.08
152,7,13,Ultimatum,8.55,8.22,7.14,8.33
161,7,14,The Seminar,8.97,8.19,8.11,7.88
154,7,15,The Search,7.77,8.88,7.01,8.88
143,7,16,PDA,7.69,8.11,7.45,8.33
166,7,17,Threat Level Midnight,8.79,8.01,8.89,7.99
66,7,18,Todd Packer,7.11,6.99,6.45,7.13
180,7,19,Garage Sale,8.53,9.55,8.99,9.57
141,7,20,Training Day,8.22,8.01,8.21,7.11
172,7,21,Michael's Last Dundies,8.33,9.01,9.11,8.89
181,7,22,"Goodbye, Michael",8.78,9.03,9.22,9.65
142,7,23,The Inner Circle,8.67,8.12,8.67,6.11
100,7,24,"Dwight K. Schrute, (Acting) Manager",7.56,8.12,7.67,5.91
120,7,25,Search Committee,8.44,7.89,7.48,6.03
86,8,1,The List,8.34,6.23,7.11,7.12
35,8,2,The Incentive,7.03,7.14,6.12,6.01
102,8,3,Lotto,8.12,7.33,7.99,5.88
82,8,4,Garden Party,8.13,7.34,7.14,6.01
57,8,5,Spooked,7.11,6.65,7.12,6.34
40,8,6,Doomsday,7.07,7.01,6.44,5.98
21,8,7,Pam's Replacement,6.13,6.12,6.11,7.01
0,8,8,Gettysburg,5.99,6.01,5.88,5.67
8,8,9,Mrs. California,6.44,6.03,6.13,6.01
2,8,10,Christmas Wishes,6.07,5.99,6.03,6.05
17,8,11,Trivia,7.1,6.01,6.03,5.88
130,8,12,Pool Party,8.11,7.11,8.1,7.03
108,8,13,Jury Duty,7.12,8.33,7.02,7.04
31,8,14,Special Project,6.75,7.08,5.98,6.24
63,8,15,Tallahassee,7.11,7.01,7.11,6.11
76,8,16,After Hours,7.09,7.03,7.67,6.33
77,8,17,Test the Store,7.22,6.88,7.77,6.33
95,8,18,Last Day in Florida,7.33,7.2,7.51,7.01
58,8,19,Get the Girl,7.03,6.23,7.01,7.01
96,8,20,Welcome Party,7.02,7.03,7.99,7.11
134,8,21,Angry Andy,8.44,7.02,7.5,7.77
12,8,22,Fundraiser,6.02,6.88,5.98,5.98
94,8,23,Turf War,7.15,8.01,6.44,7.44
50,8,24,Free Family Portrait Studio,6.34,7.44,6.37,6.67
115,9,1,New Guys,7.03,8.22,7.21,7.23
56,9,2,Roy's Wedding,6.99,7.43,6.55,6.22
26,9,3,Andy's Ancestry,6.33,7.12,6.22,6.04
153,9,4,Work Bus,7.22,8.33,8.01,8.77
51,9,5,Here Comes Treble,7.07,6.99,6.44,6.33
36,9,6,The Boat,6.22,6.99,6.21,6.88
81,9,7,The Whale,7.01,7.22,7.01,7.33
132,9,8,The Target,7.44,8.12,7.13,7.77
171,9,9,Dwight Christmas,8.66,8.78,9.19,8.53
64,9,10,Lice,7.01,7.29,6.32,6.88
62,9,11,Suit Warehouse,6.94,7.23,6.15,7.01
85,9,12,Customer Loyalty,6.33,7.44,7.01,8.01
22,9,13,Junior Salesman,6.36,6.55,6.33,6.15
13,9,14,Vandalism,5.99,6.65,6.13,6.12
78,9,15,Couples Discount,7.01,7.01,7.01,7.21
165,9,16,Moving On,8.01,8.76,8.33,8.55
49,9,17,The Farm,6.34,6.22,7.22,7.01
73,9,18,Promos,6.01,7.44,7.22,7.34
1,9,19,Stairmageddon,6.03,6.01,5.84,5.88
