0,1,2,3,4,5,6,7,8
,,,,,,,,
Laughs: 5.99,Importance to Office Universe: 6.01,"Memorability, Quotability: 5.88",Emotional Weight: 5.67,,,,,
Laughs: 6.03,Importance to Office Universe: 6.01,"Memorability, Quotability: 5.84",Emotional Weight: 5.88,,,,,
Laughs: 6.07,Importance to Office Universe: 5.99,"Memorability, Quotability: 6.03",Emotional Weight: 6.05,,,,,
Laughs: 5.98,Importance to Office Universe: 5.55,"Memorability, Quotability: 5.33",Emotional Weight: 7.33,,,,,
Laughs: 6.31,Importance to Office Universe: 6.01,"Memorability, Quotability: 6.21",Emotional Weight: 5.67,,,,,
Laughs: 6.21,Importance to Office Universe: 6.13,"Memorability, Quotability: 6.14",Emotional Weight: 5.88,,,,,
Laughs: 5.77,Importance to Office Universe: 6.73,"Memorability, Quotability: 5.99",Emotional Weight: 5.99,,,,,
Laughs: 7.14,Importance to Office Universe: 6.11,"Memorability, Quotability: 6.12",Emotional Weight: 5.13,,,,,
Laughs: 6.44,Importance to Office Universe: 6.03,"Memorability, Quotability: 6.13",Emotional Weight: 6.01,,,,,
Laughs: 7.17,Importance to Office Universe: 6.44,"Memorability, Quotability: 5.01",Emotional Weight: 6.01,,,,,
Laughs: 6.99,Importance to Office Universe: 6.53,"Memorability, Quotability: 6.12",Emotional Weight: 5.05,,,,,
Laughs: 7.01,Importance to Office Universe: 6.66,"Memorability, Quotability: 5.03",Emotional Weight: 6.01,,,,,
Laughs: 6.02,Importance to Office Universe: 6.88,"Memorability, Quotability: 5.98",Emotional Weight: 5.98,,,,,
Laughs: 5.99,Importance to Office Universe: 6.65,"Memorability, Quotability: 6.13",Emotional Weight: 6.12,,,,,
Laughs: 6.89,Importance to Office Universe: 6.44,"Memorability, Quotability: 5.1",Emotional Weight: 6.55,,,,,
Laughs: 6.98,Importance to Office Universe: 6.01,"Memorability, Quotability: 5.88",Emotional Weight: 6.12,,,,,
Laughs: 7.03,Importance to Office Universe: 6.11,"Memorability, Quotability: 5.55",Emotional Weight: 6.31,,,,,
Laughs: 7.1,Importance to Office Universe: 6.01,"Memorability, Quotability: 6.03",Emotional Weight: 5.88,,,,,
Laughs: 6.25,Importance to Office Universe: 6.33,"Memorability, Quotability: 6.13",Emotional Weight: 6.32,,,,,
Laughs: 7.14,Importance to Office Universe: 5.89,"Memorability, Quotability: 7.01",Emotional Weight: 5.05,,,,,
Laughs: 8,Importance to Office Universe: 5.01,"Memorability, Quotability: 5.11",Emotional Weight: 7,,,,,
Laughs: 6.13,Importance to Office Universe: 6.12,"Memorability, Quotability: 6.11",Emotional Weight: 7.01,,,,,
Laughs: 6.36,Importance to Office Universe: 6.55,"Memorability, Quotability: 6.33",Emotional Weight: 6.15,,,,,
Laughs: 6.65,Importance to Office Universe: 6.21,"Memorability, Quotability: 6.55",Emotional Weight: 5.99,,,,,
Laughs: 7.01,Importance to Office Universe: 6.79,"Memorability, Quotability: 6.52",Emotional Weight: 5.11,,,,,
Laughs: 6.51,Importance to Office Universe: 6.5,"Memorability, Quotability: 6.6",Emotional Weight: 5.91,,,,,
Laughs: 6.33,Importance to Office Universe: 7.12,"Memorability, Quotability: 6.22",Emotional Weight: 6.04,,,,,
Laughs: 7.01,Importance to Office Universe: 6.45,"Memorability, Quotability: 6.21",Emotional Weight: 6.21,,,,,
Laughs: 7.67,Importance to Office Universe: 7.1,"Memorability, Quotability: 6.01",Emotional Weight: 5.13,,,,,
Laughs: 7.2,Importance to Office Universe: 6.49,"Memorability, Quotability: 6.34",Emotional Weight: 5.89,,,,,
Laughs: 7.78,Importance to Office Universe: 6.11,"Memorability, Quotability: 6.13",Emotional Weight: 6.01,,,,,
Laughs: 6.75,Importance to Office Universe: 7.08,"Memorability, Quotability: 5.98",Emotional Weight: 6.24,,,,,
Laughs: 7.4,Importance to Office Universe: 6.5,"Memorability, Quotability: 5.97",Emotional Weight: 6.34,,,,,
Laughs: 6.88,Importance to Office Universe: 7.03,"Memorability, Quotability: 6.33",Emotional Weight: 6.01,,,,,
Laughs: 7.97,Importance to Office Universe: 6.31,"Memorability, Quotability: 6.67",Emotional Weight: 5.34,,,,,
Laughs: 7.03,Importance to Office Universe: 7.14,"Memorability, Quotability: 6.12",Emotional Weight: 6.01,,,,,
Laughs: 6.22,Importance to Office Universe: 6.99,"Memorability, Quotability: 6.21",Emotional Weight: 6.88,,,,,
Laughs: 7.01,Importance to Office Universe: 5.88,"Memorability, Quotability: 7.55",Emotional Weight: 5.89,,,,,
Laughs: 8.13,Importance to Office Universe: 6.12,"Memorability, Quotability: 6.12",Emotional Weight: 5.99,,,,,
Laughs: 7.13,Importance to Office Universe: 6.44,"Memorability, Quotability: 6.35",Emotional Weight: 6.54,,,,,
Laughs: 7.07,Importance to Office Universe: 7.01,"Memorability, Quotability: 6.44",Emotional Weight: 5.98,,,,,
Laughs: 7.11,Importance to Office Universe: 6.43,"Memorability, Quotability: 6.99",Emotional Weight: 6.01,,,,,
Laughs: 7.55,Importance to Office Universe: 6.14,"Memorability, Quotability: 6.44",Emotional Weight: 6.44,,,,,
Laughs: 7.11,Importance to Office Universe: 6.33,"Memorability, Quotability: 6.05",Emotional Weight: 7.11,,,,,
Laughs: 7.17,Importance to Office Universe: 6.44,"Memorability, Quotability: 6.01",Emotional Weight: 7.01,,,,,
