,andy,angela,charles,clark,creed,darryl,david wallace,deangelo,dwight,erin,gabe,holly,jan,jim,jo,karen,kelly,kevin,meredith,michael,nellie,oscar,other,pam,pete,phyllis,robert california,roy,ryan,stanley,toby
andy,0,133,12,21,54,137,19,14,311,219,37,9,8,286,3,18,78,191,91,211,35,159,256,212,17,169,54,0,70,127,37
angela,133,0,8,8,43,31,1,5,275,60,14,7,14,124,1,15,73,195,82,167,26,187,138,181,7,141,6,4,29,72,39
charles,12,8,0,0,0,0,10,0,23,2,0,0,0,27,0,0,6,8,0,20,0,2,7,13,0,4,0,0,3,5,1
clark,21,8,0,0,3,12,3,0,47,13,0,0,1,15,0,0,0,12,9,0,5,11,23,16,13,10,0,0,0,11,3
creed,54,43,0,3,0,15,3,1,77,28,10,3,3,77,0,3,29,62,44,77,13,54,49,72,6,56,5,0,27,38,25
darryl,137,31,0,12,15,0,0,13,91,37,30,13,1,86,2,2,32,88,33,106,21,64,126,79,6,57,6,15,21,32,29
david wallace,19,1,10,3,3,0,0,0,29,9,0,2,8,27,0,2,3,4,3,65,1,3,25,11,1,7,4,0,6,3,2
deangelo,14,5,0,0,1,13,0,0,9,8,6,0,0,21,1,0,4,14,5,29,0,7,8,12,0,5,0,0,7,6,3
dwight,311,275,23,47,77,91,29,9,0,139,48,26,29,647,9,20,106,188,116,665,80,191,456,368,12,222,24,10,134,161,71
erin,219,60,2,13,28,37,9,8,139,0,33,12,0,107,3,0,41,101,50,116,38,76,119,117,46,81,23,0,39,50,17
gabe,37,14,0,0,10,30,0,6,48,33,0,3,0,49,10,0,15,28,16,37,11,21,37,31,2,16,13,0,13,8,19
holly,9,7,0,0,3,13,2,0,26,12,3,0,3,15,0,0,9,22,6,108,0,10,18,13,0,8,0,0,6,4,6
jan,8,14,0,1,3,1,8,0,29,0,0,3,0,15,0,3,8,6,4,134,0,5,40,32,0,6,0,0,2,1,7
jim,286,124,27,15,77,86,27,21,647,107,49,15,15,0,13,69,99,218,95,474,47,170,328,767,10,184,32,26,124,144,66
jo,3,1,0,0,0,2,0,1,9,3,10,0,0,13,0,0,1,7,1,23,0,3,0,1,0,2,0,0,0,0,2
karen,18,15,0,0,3,2,2,0,20,0,0,0,3,69,0,0,4,7,5,33,0,2,21,37,0,18,0,2,5,7,0
kelly,78,73,6,0,29,32,3,4,106,41,15,9,8,99,1,4,0,78,55,113,1,69,69,117,0,73,4,3,98,42,33
kevin,191,195,8,12,62,88,4,14,188,101,28,22,6,218,7,7,78,0,102,232,37,219,171,220,13,148,27,12,62,89,51
meredith,91,82,0,9,44,33,3,5,116,50,16,6,4,95,1,5,55,102,0,102,19,94,78,114,12,81,10,0,32,58,23
michael,211,167,20,0,77,106,65,29,665,116,37,108,134,474,23,33,113,232,102,0,0,207,564,502,1,194,0,24,203,168,115
nellie,35,26,0,5,13,21,1,0,80,38,11,0,0,47,0,0,1,37,19,0,0,21,44,47,15,25,17,0,5,21,17
oscar,159,187,2,11,54,64,3,7,191,76,21,10,5,170,3,2,69,219,94,207,21,0,142,176,10,143,17,0,63,92,46
other,256,138,7,23,49,126,25,8,456,119,37,18,40,328,0,21,69,171,78,564,44,142,0,310,16,108,33,20,86,82,52
pam,212,181,13,16,72,79,11,12,368,117,31,13,32,767,1,37,117,220,114,502,47,176,310,0,13,198,14,43,127,116,63
pete,17,7,0,13,6,6,1,0,12,46,2,0,0,10,0,0,0,13,12,1,15,10,16,13,0,3,1,0,0,5,3
phyllis,169,141,4,10,56,57,7,5,222,81,16,8,6,184,2,18,73,148,81,194,25,143,108,198,3,0,12,0,57,162,27
robert california,54,6,0,0,5,6,4,0,24,23,13,0,0,32,0,0,4,27,10,0,17,17,33,14,1,12,0,0,11,11,8
roy,0,4,0,0,0,15,0,0,10,0,0,0,0,26,0,2,3,12,0,24,0,0,20,43,0,0,0,0,5,1,0
ryan,70,29,3,0,27,21,6,7,134,39,13,6,2,124,0,5,98,62,32,203,5,63,86,127,0,57,11,5,0,49,28
stanley,127,72,5,11,38,32,3,6,161,50,8,4,1,144,0,7,42,89,58,168,21,92,82,116,5,162,11,1,49,0,23
toby,37,39,1,3,25,29,2,3,71,17,19,6,7,66,2,0,33,51,23,115,17,46,52,63,3,27,8,0,28,23,0
